node6  | [entrypoint] Starting ADVERSARY node node6
node6  | 09:45:14 [node6[ADVERSARY]] WARNING [ADVERSARY] Equivocating PREPARE for seq=1
node6  | 09:45:14 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=1 digest=b82e6e5f… to node1
node6  | 09:45:14 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=1 digest=b82e6e5f… to node2
node6  | 09:45:14 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=1 digest=deadbeef… to node3
node6  | 09:45:14 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=1 digest=deadbeef… to node4
node6  | 09:45:14 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=1 digest=deadbeef… to node5
node6  | 09:45:14 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent forged PRE-PREPARE to node5 seq=1
node6  | 09:45:15 [node6[ADVERSARY]] WARNING [ADVERSARY] Equivocating PREPARE for seq=2
node6  | 09:45:15 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=2 digest=0a70b192… to node1
node6  | 09:45:15 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=2 digest=0a70b192… to node2
node6  | 09:45:15 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=2 digest=deadbeef… to node3
node6  | 09:45:15 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=2 digest=deadbeef… to node4
node6  | 09:45:15 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=2 digest=deadbeef… to node5
node6  | 09:45:15 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent forged PRE-PREPARE to node1 seq=2
node6  | 09:45:16 [node6[ADVERSARY]] WARNING [ADVERSARY] Equivocating PREPARE for seq=3
node6  | 09:45:16 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=3 digest=cba0413a… to node1
