node3  | [crypto] Generated keypair for node3
node3  | [entrypoint] Generated keys for node3
node3  | [entrypoint] Starting node node3 mode=B
node3  | 09:43:33 [node3] INFO Node node3 listening on :5003  mode=B
node3  | 09:43:40 [node3] WARNING Leader heartbeat timeout — starting election.
node3  | 09:43:40 [node3] INFO [ELECTION] node3 starting Bully election.
node3  | 09:43:40 [node3] INFO [ELECTION] Received OK from node4 — stepping down.
node3  | 09:43:40 [node3] INFO [ELECTION] Received OK from node5 — stepping down.
node3  | 09:43:40 [node3] INFO [ELECTION] New coordinator: node5
node3  | 09:43:40 [node3] INFO [ELECTION] node3 starting Bully election.
node3  | 09:43:40 [node3] INFO [ELECTION] Received OK from node4 — stepping down.
node3  | 09:43:40 [node3] INFO [ELECTION] Received OK from node5 — stepping down.
node3  | 09:45:14 [node3] INFO [PBFT] Accepted PRE-PREPARE seq=1 from node5
node3  | 09:45:14 [node3] INFO [PBFT] PREPARE quorum reached seq=1 (3 votes)
node3  | 09:45:14 [node3] INFO [PBFT] Sent PREPARE  seq=1
node3  | 09:45:14 [node3] INFO [PBFT] Sent COMMIT  seq=1
node3  | 09:45:14 [node3] INFO [PBFT] PREPARE quorum reached seq=1 (4 votes)
node3  | 09:45:14 [node3] INFO [PBFT] PREPARE quorum reached seq=1 (5 votes)
node3  | 09:45:14 [node3] INFO [PBFT] PREPARE quorum reached seq=1 (6 votes)
node3  | 09:45:14 [node3] INFO [LEDGER] Committed tx: TX-0001-1780825514380  (total=1)
node3  | 09:45:14 [node3] INFO [PBFT] ✓ CONSENSUS REACHED  seq=1  tx=TX-0001-1780825514380
node3  | 09:45:14 [node3] INFO [PBFT] Sent COMMIT  seq=1
node3  | 09:45:14 [node3] INFO [PBFT] Sent COMMIT  seq=1
node3  | 09:45:14 [node3] INFO [PBFT] Sent COMMIT  seq=1
node3  | 09:45:15 [node3] INFO [PBFT] Accepted PRE-PREPARE seq=2 from node5
node3  | 09:45:15 [node3] INFO [PBFT] PREPARE quorum reached seq=2 (3 votes)
node3  | 09:45:15 [node3] INFO [PBFT] Sent PREPARE  seq=2
node3  | 09:45:15 [node3] INFO [PBFT] Sent COMMIT  seq=2
node3  | 09:45:15 [node3] INFO [LEDGER] Committed tx: TX-0002-1780825515388  (total=2)
node3  | 09:45:15 [node3] INFO [PBFT] ✓ CONSENSUS REACHED  seq=2  tx=TX-0002-1780825515388
node3  | 09:45:16 [node3] INFO [CLIENT] Received transaction: TX-0003-1780825516391
node3  | 09:45:16 [node3] INFO [PBFT] Accepted PRE-PREPARE seq=3 from node5
node3  | 09:45:16 [node3] INFO [PBFT] Sent PREPARE  seq=3
node3  | 09:45:16 [node3] INFO [PBFT] PREPARE quorum reached seq=3 (3 votes)
node3  | 09:45:16 [node3] INFO [PBFT] PREPARE quorum reached seq=3 (4 votes)
node3  | 09:45:16 [node3] INFO [PBFT] PREPARE quorum reached seq=3 (5 votes)
node3  | 09:45:16 [node3] INFO [PBFT] PREPARE quorum reached seq=3 (6 votes)
node3  | 09:45:16 [node3] INFO [LEDGER] Committed tx: TX-0003-1780825516391  (total=3)
node3  | 09:45:16 [node3] INFO [PBFT] ✓ CONSENSUS REACHED  seq=3  tx=TX-0003-1780825516391
node3  | 09:45:16 [node3] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=3 — IGNORED
node4  | [crypto] Generated keypair for node4
node4  | [entrypoint] Generated keys for node4
node4  | [entrypoint] Starting node node4 mode=B
node4  | 09:43:33 [node4] INFO Node node4 listening on :5004  mode=B
node4  | 09:43:40 [node4] INFO [ELECTION] node4 starting Bully election.
node4  | 09:43:40 [node4] INFO [ELECTION] New coordinator: node5
node4  | 09:43:40 [node4] INFO [ELECTION] Received OK from node5 — stepping down.
node4  | 09:43:40 [node4] INFO [ELECTION] node4 starting Bully election.
node4  | 09:43:40 [node4] INFO [ELECTION] Received OK from node5 — stepping down.
node4  | 09:45:14 [node4] INFO [PBFT] Accepted PRE-PREPARE seq=1 from node5
node4  | 09:45:14 [node4] INFO [PBFT] PREPARE quorum reached seq=1 (3 votes)
node4  | 09:45:14 [node4] INFO [PBFT] PREPARE quorum reached seq=1 (4 votes)
node4  | 09:45:14 [node4] INFO [PBFT] Sent PREPARE  seq=1
node4  | 09:45:14 [node4] INFO [PBFT] PREPARE quorum reached seq=1 (5 votes)
node4  | 09:45:14 [node4] INFO [PBFT] PREPARE quorum reached seq=1 (6 votes)
node4  | 09:45:14 [node4] INFO [PBFT] Sent COMMIT  seq=1
node4  | 09:45:14 [node4] INFO [LEDGER] Committed tx: TX-0001-1780825514380  (total=1)
node4  | 09:45:14 [node4] INFO [PBFT] ✓ CONSENSUS REACHED  seq=1  tx=TX-0001-1780825514380
node4  | 09:45:14 [node4] INFO [PBFT] Sent COMMIT  seq=1
node4  | 09:45:14 [node4] INFO [PBFT] Sent COMMIT  seq=1
node4  | 09:45:14 [node4] INFO [PBFT] Sent COMMIT  seq=1
node4  | 09:45:15 [node4] INFO [CLIENT] Received transaction: TX-0002-1780825515388
node4  | 09:45:15 [node4] INFO [PBFT] Accepted PRE-PREPARE seq=2 from node5
node4  | 09:45:15 [node4] INFO [PBFT] PREPARE quorum reached seq=2 (3 votes)
node4  | 09:45:15 [node4] INFO [PBFT] PREPARE quorum reached seq=2 (4 votes)
node4  | 09:45:15 [node4] INFO [PBFT] Sent PREPARE  seq=2
node4  | 09:45:15 [node4] INFO [LEDGER] Committed tx: TX-0002-1780825515388  (total=2)
node4  | 09:45:15 [node4] INFO [PBFT] ✓ CONSENSUS REACHED  seq=2  tx=TX-0002-1780825515388
node4  | 09:45:15 [node4] INFO [PBFT] Sent COMMIT  seq=2
node4  | 09:45:15 [node4] INFO [PBFT] Sent COMMIT  seq=2
node4  | 09:45:16 [node4] INFO [PBFT] Accepted PRE-PREPARE seq=3 from node5
node4  | 09:45:16 [node4] INFO [PBFT] Sent PREPARE  seq=3
node4  | 09:45:16 [node4] INFO [PBFT] PREPARE quorum reached seq=3 (3 votes)
node4  | 09:45:16 [node4] INFO [PBFT] PREPARE quorum reached seq=3 (4 votes)
node4  | 09:45:16 [node4] INFO [PBFT] PREPARE quorum reached seq=3 (5 votes)
node4  | 09:45:16 [node4] INFO [PBFT] PREPARE quorum reached seq=3 (6 votes)
node4  | 09:45:16 [node4] INFO [LEDGER] Committed tx: TX-0003-1780825516391  (total=3)
