node3  | 09:45:16 [node3] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=3 — IGNORED
node3  | 09:45:19 [node3] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=6 — IGNORED
node3  | 09:45:27 [node3] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=14 — IGNORED
node1  | 09:45:15 [node1] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=2 — IGNORED
node4  | 09:45:18 [node4] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=5 — IGNORED
node4  | 09:45:29 [node4] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=16 — IGNORED
node4  | 09:45:31 [node4] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=18 — IGNORED
node5  | 09:45:14 [node5] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=1 — IGNORED
node5  | 09:45:17 [node5] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=4 — IGNORED
node5  | 09:45:20 [node5] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=7 — IGNORED
node5  | 09:45:22 [node5] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=9 — IGNORED
node5  | 09:45:24 [node5] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=11 — IGNORED
node5  | 09:45:25 [node5] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=12 — IGNORED
node5  | 09:45:26 [node5] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=13 — IGNORED
node5  | 09:45:28 [node5] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=15 — IGNORED
node5  | 09:45:30 [node5] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=17 — IGNORED
node5  | 09:45:33 [node5] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=20 — IGNORED
node2  | 09:45:21 [node2] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=8 — IGNORED
node2  | 09:45:23 [node2] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=10 — IGNORED
node2  | 09:45:32 [node2] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=19 — IGNORED
